기준일,기준일_시트명,학원순서,학원명,올해_재학생,올해_N수,올해_총인원,올해_총인원_원본열,원본총원_차이,전년_재학생,전년_N수,전년_총인원,목표_재학생,목표_N수,목표_총인원,전년대비_재학생_증감,전년대비_N수_증감,전년대비_총원_증감,전년대비_총원_증감률,목표대비_재학생_차이,목표대비_N수_차이,목표대비_총원_차이,목표달성률_총원,원본파일,원본시트,원본행,추출_올해총원열,추출_목표열,추출_전년열
2026-04-19,4.19(일),8,분당,162,360,522,522,0,213,367,580,215,370,585,-51,-7,-58,-0.1,-53,-10,-63,0.8923076923076924,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),20,L,Y/Z,AB/AC
2026-04-19,4.19(일),9,대구,161,452,613,613,0,178,451,629,213,425,638,-17,1,-16,-0.025437201907790145,-52,27,-25,0.9608150470219435,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),21,L,Y/Z,AB/AC
2026-04-19,4.19(일),10,대전,110,195,305,305,0,114,206,320,115,195,310,-4,-11,-15,-0.046875,-5,0,-5,0.9838709677419355,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.19(일),22,L,Y/Z,AB/AC
2026-04-22,4.22(수),1,최상위권 전문관,0,755,755,755,0,0,550,550,0,620,620,0,205,205,0.37272727272727274,0,135,135,1.217741935483871,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),12,L,Y/Z,AB/AC
2026-04-22,4.22(수),2,기숙 종합관,0,412,412,412,0,0,262,262,0,380,380,0,150,150,0.5725190839694656,0,32,32,1.0842105263157895,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),13,L,Y/Z,AB/AC
2026-04-22,4.22(수),3,여학생 전문관,0,327,327,416,-89,0,401,401,0,405,405,0,-74,-74,-0.18453865336658354,0,-78,-78,0.8074074074074075,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),14,L,Y/Z,AB/AC
2026-04-22,4.22(수),4,여학생 수학전문관,0,89,89,,,0,0,0,0,0,0,0,89,89,,0,89,89,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),15,L,Y/Z,AB/AC
2026-04-22,4.22(수),5,남학생 전문관,0,452,452,452,0,0,433,433,0,450,450,0,19,19,0.04387990762124711,0,2,2,1.0044444444444445,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),16,L,Y/Z,AB/AC
2026-04-22,4.22(수),6,강남,102,189,291,291,0,97,159,256,99,320,419,5,30,35,0.13671875,3,-131,-128,0.6945107398568019,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),18,L,Y/Z,AB/AC
2026-04-22,4.22(수),7,목동,82,288,370,370,0,87,325,412,87,333,420,-5,-37,-42,-0.10194174757281553,-5,-45,-50,0.8809523809523809,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),19,L,Y/Z,AB/AC
2026-04-22,4.22(수),8,분당,161,361,522,522,0,213,369,582,215,370,585,-52,-8,-60,-0.10309278350515463,-54,-9,-63,0.8923076923076924,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),20,L,Y/Z,AB/AC
2026-04-22,4.22(수),9,대구,161,453,614,614,0,179,458,637,213,425,638,-18,-5,-23,-0.03610675039246468,-52,28,-24,0.9623824451410659,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),21,L,Y/Z,AB/AC
2026-04-22,4.22(수),10,대전,110,197,307,307,0,114,207,321,115,195,310,-4,-10,-14,-0.04361370716510903,-5,2,-3,0.9903225806451613,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.22(수),22,L,Y/Z,AB/AC
2026-04-26,4.26(일),1,최상위권 전문관,0,758,758,758,0,0,553,553,0,620,620,0,205,205,0.3707052441229656,0,138,138,1.2225806451612904,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),12,L,Y/Z,AB/AC
2026-04-26,4.26(일),2,기숙 종합관,0,414,414,414,0,0,261,261,0,380,380,0,153,153,0.5862068965517241,0,34,34,1.0894736842105264,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),13,L,Y/Z,AB/AC
2026-04-26,4.26(일),3,여학생 전문관,0,329,329,418,-89,0,401,401,0,405,405,0,-72,-72,-0.17955112219451372,0,-76,-76,0.8123456790123457,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),14,L,Y/Z,AB/AC
2026-04-26,4.26(일),4,여학생 수학전문관,0,89,89,,,0,0,0,0,0,0,0,89,89,,0,89,89,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),15,L,Y/Z,AB/AC
2026-04-26,4.26(일),5,남학생 전문관,0,454,454,454,0,0,432,432,0,450,450,0,22,22,0.05092592592592592,0,4,4,1.008888888888889,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),16,L,Y/Z,AB/AC
2026-04-26,4.26(일),6,강남,103,191,294,294,0,108,158,266,99,320,419,-5,33,28,0.10526315789473684,4,-129,-125,0.7016706443914081,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),18,L,Y/Z,AB/AC
2026-04-26,4.26(일),7,목동,82,289,371,371,0,87,327,414,87,333,420,-5,-38,-43,-0.10386473429951691,-5,-44,-49,0.8833333333333333,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),19,L,Y/Z,AB/AC
2026-04-26,4.26(일),8,분당,161,359,520,520,0,213,367,580,215,370,585,-52,-8,-60,-0.10344827586206896,-54,-11,-65,0.8888888888888888,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),20,L,Y/Z,AB/AC
2026-04-26,4.26(일),9,대구,161,447,608,608,0,180,454,634,213,425,638,-19,-7,-26,-0.04100946372239748,-52,22,-30,0.9529780564263323,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),21,L,Y/Z,AB/AC
2026-04-26,4.26(일),10,대전,110,197,307,307,0,114,209,323,115,195,310,-4,-12,-16,-0.04953560371517028,-5,2,-3,0.9903225806451613,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.26(일),22,L,Y/Z,AB/AC
2026-04-29,4.29(수),1,최상위권 전문관,0,767,767,767,0,0,556,556,0,620,620,0,211,211,0.37949640287769787,0,147,147,1.2370967741935484,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.29(수),12,L,Y/Z,AB/AC
2026-04-29,4.29(수),2,기숙 종합관,0,415,415,415,0,0,259,259,0,380,380,0,156,156,0.6023166023166023,0,35,35,1.0921052631578947,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.29(수),13,L,Y/Z,AB/AC
2026-04-29,4.29(수),3,여학생 전문관,0,334,334,423,-89,0,399,399,0,405,405,0,-65,-65,-0.16290726817042606,0,-71,-71,0.8246913580246914,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.29(수),14,L,Y/Z,AB/AC
